5-MCDG_1	5-MCDG	thymine DNA glycosylase 
BAIAP2L1_1	BAIAP2L1	BAI1 associated protein 2 like 1 
BAIAP2_1	BAIAP2	BAI1 associated protein 2 
BAK1_1	BAK1	BCL2 antagonist/killer 1 
BANP_1	BANP	protein BANP isoform 2 
BANP_2	BANP	protein BANP isoform 2 
BAP1_1	BAP1	BRCA1 associated protein 1 
BARD1_1	BARD1	BRCA1-associated RING domain protein 1 
BATF_1	BATF	basic leucine zipper ATF-like transcription factor 
BAZ1B_1	BAZ1B	bromodomain adjacent to zinc finger domain 1B 
BAZ2A_1	BAZ2A	bromodomain adjacent to zinc finger domain 2A 
BAZ2B_1	BAZ2B	bromodomain adjacent to zinc finger domain 2B 
BAZ2B_2	BAZ2B	bromodomain adjacent to zinc finger domain 2B 
BBOX1_1	BBOX1	gamma-butyrobetaine hydroxylase 1 
BBS2_1	BBS2	Bardet-Biedl syndrome 2 
BBS4_1	BBS4	Bardet-Biedl syndrome 4 
BBS4_2	BBS4	Bardet-Biedl syndrome 4 
BCAP29_1	BCAP29	B-cell receptor associated protein 29 
BCAP29_2	BCAP29	B-cell receptor associated protein 29 
BCAS2_1	BCAS2	BCAS2, pre-mRNA processing factor 
BCAS3_1	BCAS3	BCAS3, microtubule associated cell migration factor 
BCAS3_2	BCAS3	BCAS3, microtubule associated cell migration factor 
BCCIP_1	BCCIP	BRCA2 and CDKN1A interacting protein 
BCDIN3D_1	BCDIN3D	BCDIN3 domain containing RNA methyltransferase 
BCHE_1	BCHE	butyrylcholinesterase 
BCKDHB_1	BCKDHB	2-oxoisovalerate dehydrogenase subunit beta, mitochondrial precursor 
BCL10_1	BCL10	B-cell CLL/lymphoma 10 
BCL11A_1	BCL11A	B-cell CLL/lymphoma 11A 
BCL2L13_1	BCL2L13	BCL2 like 13 
BCL2L1_1	BCL2L1	BCL2 like 1 
BCL2L1_2	BCL2L1	BCL2 like 1 
BCL2_1	BCL2	BCL2, apoptosis regulator 
BCL6_1	BCL6	B-cell CLL/lymphoma 6 
BCL6_2	BCL6	B-cell CLL/lymphoma 6 
BCL7B_1	BCL7B	BCL tumor suppressor 7B 
BCO1_1	BCO1	beta-carotene oxygenase 1 
BCO2_1	BCO2	beta-carotene oxygenase 2 
BCS1L_1	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone 
BDH1_1	BDH1	3-hydroxybutyrate dehydrogenase 1 
BDH2_1	BDH2	3-hydroxybutyrate dehydrogenase 2 
BEND5_1	BEND5	BEN domain containing 5 
BEND7_1	BEND7	BEN domain containing 7 
BET1L_1	BET1L	Bet1 golgi vesicular membrane trafficking protein like 
BET1_1	BET1	Bet1 golgi vesicular membrane trafficking protein 
BF1_1	BF1	
BFIV21_1	BFIV21	
BFSP1_1	BFSP1	beaded filament structural protein 1 
BGLAP_1	BGLAP	bone gamma-carboxyglutamate protein 
BHLHE22_1	BHLHE22	basic helix-loop-helix family member e22 
BHLHE40_1	BHLHE40	basic helix-loop-helix family member e40 
BID_1	BID	BH3 interacting domain death agonist 
BIN1_1	BIN1	bridging integrator 1 
BIRC5_1	BIRC5	baculoviral IAP repeat containing 5 
BIVM_1	BIVM	basic, immunoglobulin-like variable motif containing 
BLB1_1	BLB1	
BLB2_1	BLB2	
BLMH_1	BLMH	bleomycin hydrolase 
BLMH_2	BLMH	bleomycin hydrolase 
BLNK_1	BLNK	B-cell linker 
BLOC1S2_1	BLOC1S2	biogenesis of lysosomal organelles complex 1 subunit 2 
BLOC1S6_1	BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6 
BLVRA_1	BLVRA	biliverdin reductase A 
BLZF1_1	BLZF1	basic leucine zipper nuclear factor 1 
BMF_1	BMF	Bcl2 modifying factor 
BMI1_1	BMI1	Polycomb complex protein BMI-1 
BMP4_1	BMP4	bone morphogenetic protein 4 
BMPER_1	BMPER	BMP binding endothelial regulator 
BMPR1A_1	BMPR1A	bone morphogenetic protein receptor type 1A 
BMPR1B_1	BMPR1B	bone morphogenetic protein receptor type 1B 
BMS1_1	BMS1	ribosome biogenesis protein BMS1 homolog 
BMT2_1	BMT2	base methyltransferase of 25S rRNA 2 homolog 
BNAS1_1	BNAS1	BRI3 binding protein 
BNC2_1	BNC2	
BNIP1_1	BNIP1	BCL2 interacting protein 1 
BNIP3L_1	BNIP3L	BCL2 interacting protein 3 like 
BNIP3_1	BNIP3	BCL2 interacting protein 3 
BOD1L1_1	BOD1L1	biorientation of chromosomes in cell division 1 like 1 
BOD1L1_2	BOD1L1	biorientation of chromosomes in cell division 1 like 1 
BOK_1	BOK	BOK, BCL2 family apoptosis regulator 
BORCS5_1	BORCS5	BLOC-1-related complex subunit 5 
BORCS5_2	BORCS5	BLOC-1-related complex subunit 5 
BORCS8_1	BORCS8	BLOC-1 related complex subunit 8 
BPGM_1	BPGM	bisphosphoglycerate mutase 
BPHL_1	BPHL	biphenyl hydrolase like 
BPNT1_1	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1 
BRAF_1	BRAF	Serine/threonine-protein kinase B-raf 
BRAP_1	BRAP	BRCA1 associated protein 
BRAP_2	BRAP	BRCA1 associated protein 
BRCA1_1	BRCA1	BRCA1, DNA repair associated 
BRCA2_1	BRCA2	BRCA2, DNA repair associated 
BRCC3_1	BRCC3	BRCA1/BRCA2-containing complex subunit 3 
BRD7_1	BRD7	bromodomain containing 7 
BRD8_1	BRD8	bromodomain containing 8 
BRF2_1	BRF2	BRF2, RNA polymerase III transcription initiation factor subunit 
BRIX1_1	BRIX1	
BRMS1L_1	BRMS1L	Breast cancer metastasis-suppressor 1-like protein 
BRPF1_1	BRPF1	bromodomain and PHD finger containing 1 
BRSK2_1	BRSK2	BR serine/threonine kinase 2 
BRSK2_2	BRSK2	BR serine/threonine kinase 2 
BSDC1_1	BSDC1	BSD domain containing 1 
BSG_1	BSG	basigin 
BST1_1	BST1	bone marrow stromal cell antigen 1 
BTBD10_1	BTBD10	BTB domain containing 10 
BTBD10_2	BTBD10	BTB domain containing 10 
BTBD17_1	BTBD17	BTB domain containing 17 
BTBD1_1	BTBD1	BTB domain containing 1 
BTBD1_2	BTBD1	BTB domain containing 1 
BTBD6_1	BTBD6	BTB domain containing 6 
BTBD6_2	BTBD6	BTB domain containing 6 
BTBD9_1	BTBD9	BTB domain containing 9 
BTC_1	BTC	betacellulin 
BTD_1	BTD	biotinidase 
BTF3L4_1	BTF3L4	basic transcription factor 3 like 4 
BTG1_1	BTG1	BTG anti-proliferation factor 1 
BTRC_1	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase 
BUB1B_1	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B 
BUB1_1	BUB1	BUB1 mitotic checkpoint serine/threonine kinase 
BUB3_1	BUB3	BUB3, mitotic checkpoint protein 
BUD13_1	BUD13	BUD13 homolog 
BUD31_1	BUD31	BUD31 homolog 
BVES_1	BVES	blood vessel epicardial substance 
BYSL_1	BYSL	bystin like 
BZW1_1	BZW1	basic leucine zipper and W2 domains 1 
BZW2_1	BZW2	basic leucine zipper and W2 domains 2 
BlSK1_1	BlSK1	
C11orf31_1	C11orf31	selenoprotein H 
C11orf49_1	C11orf49	chromosome 11 open reading frame 49 
C11orf52_1	C11orf52	chromosome 11 open reading frame 52 
C11orf54_1	C11orf54	chromosome 11 open reading frame 54 
C11orf58_1	C11orf58	chromosome 11 open reading frame 58 
C11orf70_1	C11orf70	chromosome 11 open reading frame 70 
C11orf74_1	C11orf74	chromosome 11 open reading frame 74 
C11orf96_1	C11orf96	chromosome 11 open reading frame 96 
C12orf29_1	C12orf29	chromosome 12 open reading frame 29 
C12orf45_1	C12orf45	chromosome 12 open reading frame 45 
C12orf49_1	C12orf49	chromosome 12 open reading frame 49 
C12orf4_1	C12orf4	chromosome 12 open reading frame 4 
C12orf57_1	C12orf57	chromosome 12 open reading frame 57 
C12orf65_1	C12orf65	chromosome 12 open reading frame 65 
C12orf66_1	C12orf66	chromosome 12 open reading frame 66 
C12orf73_1	C12orf73	chromosome 12 open reading frame 73 
C12orf75_1	C12orf75	chromosome 12 open reading frame 75 
C15orf41_1	C15orf41	chromosome 15 open reading frame 41 
C15orf41_2	C15orf41	chromosome 15 open reading frame 41 
C15orf48_1	C15orf48	chromosome 15 open reading frame 48 
C16orf45_1	C16orf45	chromosome 16 open reading frame 45 
C16orf52_1	C16orf52	chromosome 16 open reading frame 52 
C16orf70_1	C16orf70	chromosome 16 open reading frame 70 
C16orf87_1	C16orf87	chromosome 16 open reading frame 87 
C17orf113_1	C17orf113	chromosome 17 open reading frame 113 
C17orf58_1	C17orf58	chromosome 17 open reading frame 58 
C17orf62_1	C17orf62	chromosome 17 open reading frame 62 
C18orf21_1	C18orf21	chromosome 18 open reading frame 21 
C18orf32_1	C18orf32	
C19orf24_1	C19orf24	chromosome 19 open reading frame 24 
C19orf70_1	C19orf70	chromosome 19 open reading frame 70 
C1D_1	C1D	C1D nuclear receptor corepressor 
C1D_2	C1D	C1D nuclear receptor corepressor 
C1GALT1_1	C1GALT1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 
C1H21ORF59_1	C1H21ORF59	
C1ORF95_1	C1ORF95	Gallus gallus chromosome 3 open reading frame, human C1orf95 , mRNA. 
C1QA_1	C1QA	complement C1q A chain 
C1QB_1	C1QB	complement C1q B chain 
C1QC_1	C1QC	complement C1q C chain 
C1QTNF2_1	C1QTNF2	C1q and TNF related 2 
C1QTNF4_1	C1QTNF4	C1q and TNF related 4 
C1QTNF5_1	C1QTNF5	C1q and TNF related 5 
C1S_1	C1S	complement C1s 
C1orf115_1	C1orf115	chromosome 1 open reading frame 115 
C1orf123_1	C1orf123	chromosome 1 open reading frame 123 
C1orf159_1	C1orf159	chromosome 1 open reading frame 159 
C1orf174_1	C1orf174	chromosome 1 open reading frame 174 
C1orf27_1	C1orf27	chromosome 1 open reading frame 27 
C1orf27_2	C1orf27	chromosome 1 open reading frame 27 
C1orf50_1	C1orf50	chromosome 1 open reading frame 50 
C20orf96_1	C20orf96	chromosome 20 open reading frame 96 
C21orf2_1	C21orf2	chromosome 21 open reading frame 2 
C21orf91_1	C21orf91	chromosome 21 open reading frame 91 
C25H1ORF43_1	C25H1ORF43	uncharacterized protein LOC430589 isoform 1 
C26H6ORF125_1	C26H6ORF125	ubiquinol-cytochrome-c reductase complex assembly factor 2 
C2CD2L_1	C2CD2L	C2CD2 like 
C2orf40_1	C2orf40	chromosome 2 open reading frame 40 
C2orf49_1	C2orf49	chromosome 2 open reading frame 49 
C2orf69_1	C2orf69	chromosome 2 open reading frame 69 
C2orf76_1	C2orf76	chromosome 2 open reading frame 76 
C2orf82_1	C2orf82	chromosome 2 open reading frame 82 
C3AR1_1	C3AR1	complement C3a receptor 1 
C3orf33_1	C3orf33	chromosome 3 open reading frame 33 
C3orf38_1	C3orf38	chromosome 3 open reading frame 38 
C3orf58_1	C3orf58	chromosome 3 open reading frame 58 
C4orf33_1	C4orf33	chromosome 4 open reading frame 33 
C4orf46_1	C4orf46	chromosome 4 open reading frame 46 
C5orf15_1	C5orf15	chromosome 5 open reading frame 15 
C5orf30_1	C5orf30	
C6orf106_1	C6orf106	chromosome 6 open reading frame 106 
C6orf203_1	C6orf203	chromosome 6 open reading frame 203 
C7_1	C7	
C7orf25_1	C7orf25	chromosome 7 open reading frame 25 
C7orf26_1	C7orf26	chromosome 7 open reading frame 26 
C8B_1	C8B	complement C8 beta chain 
C9orf116_1	C9orf116	chromosome 9 open reading frame 116 
C9orf16_1	C9orf16	chromosome 9 open reading frame 16 
C9orf64_1	C9orf64	
C9orf78_1	C9orf78	chromosome 9 open reading frame 78 
C9orf85_1	C9orf85	
CA2_1	CA2	Carbonic anhydrase 2 
CA2_2	CA2	Carbonic anhydrase 2 
CA4_1	CA4	carbonic anhydrase 4 
CA8_1	CA8	carbonic anhydrase 8 
CA9_1	CA9	
CAAP1_1	CAAP1	
CAB39L_1	CAB39L	calcium binding protein 39 like 
CABCOCO1_1	CABCOCO1	ciliary associated calcium binding coiled-coil 1 
CACFD1_1	CACFD1	calcium channel flower domain containing 1 
CACNA1B_1	CACNA1B	voltage-dependent N-type calcium channel subunit alpha-1B 
CACNA1D_1	CACNA1D	Voltage-dependent L-type calcium channel subunit alpha-1D 
CACNA2D1_1	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1 preproprotein 
CACNG1_1	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 
CACNG3_1	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 
CACNG4_1	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 
CACNG5_1	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 
CACNG5_2	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 
CACUL1_1	CACUL1	CDK2 associated cullin domain 1 
CACYBP_1	CACYBP	calcyclin binding protein 
CADM1_1	CADM1	cell adhesion molecule 1 
CADM3_1	CADM3	cell adhesion molecule 3 
CAD_1	CAD	DNA fragmentation factor subunit beta 
CALB1_1	CALB1	Calbindin 
CALB2_1	CALB2	Calretinin 
CALCA_1	CALCA	calcitonin gene-related peptide isoform 3 preproprotein 
CALCOCO2_1	CALCOCO2	calcium binding and coiled-coil domain 2 
CALCRL_1	CALCRL	calcitonin receptor like receptor 
CALD1_1	CALD1	caldesmon 
CALD1_2	CALD1	caldesmon 
CALHM3_1	CALHM3	calcium homeostasis modulator 3 
CALML3_1	CALML3	calmodulin like 3 
CALML4_1	CALML4	calmodulin like 4 
CALM_1	CALM	Calmodulin 
CALM_2	CALM	Calmodulin 
CALN1_1	CALN1	calneuron 1 
CAMK2A_1	CAMK2A	calcium/calmodulin dependent protein kinase II alpha 
CAMK4_1	CAMK4	
CAMKK1_1	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 
CAMKK2_1	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 
CAMKK2_2	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 
CAMKMT_1	CAMKMT	calmodulin-lysine N-methyltransferase 
CAMKV_1	CAMKV	CaM kinase like vesicle associated 
CAMLG_1	CAMLG	calcium modulating ligand 
CAMSAP1_1	CAMSAP1	calmodulin regulated spectrin associated protein 1 
CANT1_1	CANT1	calcium activated nucleotidase 1 
CANX_1	CANX	calnexin 
CAPN10_1	CAPN10	calpain 10 
CAPN2_1	CAPN2	calpain 2 
CAPN3_1	CAPN3	calpain 3 
CAPN6_1	CAPN6	calpain 6 
CAPNS2_1	CAPNS2	calpain small subunit 2 
CAPRIN1_1	CAPRIN1	cell cycle associated protein 1 
CAPZA1_1	CAPZA1	F-actin-capping protein subunit alpha-1 
CAPZA2_1	CAPZA2	F-actin-capping protein subunit alpha-2 
CAPZB_1	CAPZB	capping actin protein of muscle Z-line beta subunit 
CARD10_1	CARD10	caspase recruitment domain family member 10 
CARD11_1	CARD11	caspase recruitment domain family member 11 
CARD19_1	CARD19	caspase recruitment domain family member 19 
CARHSP1_1	CARHSP1	calcium regulated heat stable protein 1 
CARNMT1_1	CARNMT1	
CARS_1	CARS	Cysteine--tRNA ligase, cytoplasmic 
CASC3_1	CASC3	cancer susceptibility 3 
CASC4_1	CASC4	cancer susceptibility 4 
CASD1_1	CASD1	CAS1 domain containing 1 
CASP2_1	CASP2	caspase-2 
CASP3_1	CASP3	caspase 3 
CASP6_1	CASP6	caspase 6 
CASQ2_1	CASQ2	calsequestrin 2 
CAST_1	CAST	
CATHL1_1	CATHL1	Cathelicidin-1 
CATHL2_1	CATHL2	Cathelicidin-2 
CAT_1	CAT	catalase 
CAV2_1	CAV2	caveolin 2 
CAVIN1_1	CAVIN1	caveolae associated protein 1 
CBFA2T3_1	CBFA2T3	protein CBFA2T3 
CBFB_1	CBFB	core-binding factor beta subunit 
CBLL1_1	CBLL1	E3 ubiquitin-protein ligase Hakai 
CBLL1_2	CBLL1	E3 ubiquitin-protein ligase Hakai 
CBLN2_1	CBLN2	cerebellin 2 precursor 
CBLN4_1	CBLN4	cerebellin 4 precursor 
CBL_1	CBL	Cbl proto-oncogene 
CBR4_1	CBR4	carbonyl reductase 4 
CBR4_2	CBR4	carbonyl reductase 4 
CBX1_1	CBX1	chromobox 1 
CBX4_1	CBX4	chromobox 4 
CBY1_1	CBY1	chibby family member 1, beta catenin antagonist 
CC2D1B_1	CC2D1B	coiled-coil and C2 domain containing 1B 
CCAR1_1	CCAR1	cell division cycle and apoptosis regulator 1 
CCDC126_1	CCDC126	coiled-coil domain containing 126 
CCDC12_1	CCDC12	coiled-coil domain containing 12 
CCDC134_1	CCDC134	coiled-coil domain containing 134 
CCDC137_1	CCDC137	coiled-coil domain containing 137 
CCDC167_1	CCDC167	coiled-coil domain containing 167 
CCDC174_1	CCDC174	coiled-coil domain containing 174 
CCDC18_1	CCDC18	coiled-coil domain containing 18 
CCDC25_1	CCDC25	coiled-coil domain containing 25 
CCDC28A_1	CCDC28A	coiled-coil domain containing 28A 
CCDC28B_1	CCDC28B	coiled-coil domain containing 28B 
CCDC32_1	CCDC32	coiled-coil domain containing 32 
CCDC43_1	CCDC43	coiled-coil domain containing 43 
CCDC47_1	CCDC47	coiled-coil domain containing 47 
CCDC50_1	CCDC50	coiled-coil domain containing 50 
CCDC51_1	CCDC51	coiled-coil domain containing 51 
CCDC58_1	CCDC58	coiled-coil domain containing 58 
CCDC59_1	CCDC59	coiled-coil domain containing 59 
CCDC61_1	CCDC61	coiled-coil domain containing 61 
CCDC6_1	CCDC6	coiled-coil domain containing 6 
CCDC80_1	CCDC80	coiled-coil domain containing 80 
CCDC90B_1	CCDC90B	coiled-coil domain containing 90B 
CCDC92_1	CCDC92	coiled-coil domain containing 92 
CCDC93_1	CCDC93	coiled-coil domain containing 93 
CCDC94_1	CCDC94	coiled-coil domain containing 94 
CCKBR_1	CCKBR	gastrin/cholecystokinin type B receptor 
CCK_1	CCK	cholecystokinin 
CCL20_1	CCL20	C-C motif chemokine ligand 20 
CCLi7_1	CCLi7	
CCLi8_1	CCLi8	
CCM2_1	CCM2	CCM2 scaffolding protein 
CCNA1_1	CCNA1	cyclin A1 
CCNA2_1	CCNA2	cyclin A2 
CCNB2_1	CCNB2	cyclin B2 
CCNC_1	CCNC	cyclin C 
CCND1_1	CCND1	cyclin D1 
CCND2_1	CCND2	cyclin D2 
CCND2_2	CCND2	cyclin D2 
CCND3_1	CCND3	cyclin D3 
CCNDBP1_1	CCNDBP1	cyclin D1 binding protein 1 
CCNE1_1	CCNE1	cyclin E1 
CCNE2_1	CCNE2	cyclin E2 
CCNE2_2	CCNE2	cyclin E2 
CCNG1_1	CCNG1	cyclin G1 
CCNH_1	CCNH	
CCNK_1	CCNK	cyclin K 
CCNL2_1	CCNL2	cyclin L2 
CCNYL1_1	CCNYL1	cyclin Y like 1 
CCPG1_1	CCPG1	Cell cycle progression protein 1 
CCPG1_2	CCPG1	Cell cycle progression protein 1 
CCR5_1	CCR5	
CCR7_1	CCR7	C-C motif chemokine receptor 7 
CCT2_1	CCT2	chaperonin containing TCP1 subunit 2 
CCT4_1	CCT4	chaperonin containing TCP1 subunit 4 
CCT4_2	CCT4	chaperonin containing TCP1 subunit 4 
CCT5_1	CCT5	chaperonin containing TCP1 subunit 5 
CCT6_1	CCT6	T-complex protein 1 subunit zeta 
CCT7_1	CCT7	chaperonin containing TCP1 subunit 7 
CCT8_1	CCT8	chaperonin containing TCP1 subunit 8 
CD151_1	CD151	CD151 molecule 
CD1_1	CD1	
CD200_1	CD200	CD200 molecule 
CD247_1	CD247	CD247 molecule 
CD2AP_1	CD2AP	CD2 associated protein 
CD38_1	CD38	CD38 molecule 
CD38_2	CD38	CD38 molecule 
CD40_1	CD40	CD40 molecule 
CD44_1	CD44	CD44 molecule 
CD47_1	CD47	CD47 molecule 
CD74_1	CD74	CD74 molecule 
CD81_1	CD81	CD81 molecule 
CD82_1	CD82	CD82 molecule 
CD93_1	CD93	CD93 molecule 
CD99L2_1	CD99L2	CD99 molecule like 2 
CD99_1	CD99	CD99 molecule 
CD9_1	CD9	CD9 molecule 
CDC123_1	CDC123	cell division cycle 123 
CDC14A_1	CDC14A	cell division cycle 14A 
CDC14B_1	CDC14B	
CDC16_1	CDC16	cell division cycle 16 
CDC20_1	CDC20	cell division cycle 20 
CDC23_1	CDC23	cell division cycle 23 
CDC25A_1	CDC25A	cell division cycle 25A 
CDC26_1	CDC26	cell division cycle 26 
CDC27_1	CDC27	cell division cycle 27 
CDC2L1_1	CDC2L1	cell division protein kinase 11 
CDC2L1_2	CDC2L1	cell division protein kinase 11 
CDC34_1	CDC34	cell division cycle 34 
CDC37L1_1	CDC37L1	
CDC40_1	CDC40	cell division cycle 40 
CDC42BPA_1	CDC42BPA	CDC42 binding protein kinase alpha 
CDC42EP4_1	CDC42EP4	CDC42 effector protein 4 
CDC42EP4_2	CDC42EP4	CDC42 effector protein 4 
CDC42SE1_1	CDC42SE1	CDC42 small effector 1 
CDC42SE2_1	CDC42SE2	
CDC42_1	CDC42	cell division cycle 42 
CDC42_2	CDC42	cell division cycle 42 
CDC45_1	CDC45	cell division cycle 45 
CDC73_1	CDC73	cell division cycle 73 
CDCA3_1	CDCA3	cell division cycle associated 3 
CDCA4_1	CDCA4	cell division cycle-associated protein 4 
CDCA7_1	CDCA7	cell division cycle associated 7 
CDH11_1	CDH11	cadherin 11 
CDH12_1	CDH12	cadherin 12 
CDH13_1	CDH13	Cadherin-13 
CDH17_1	CDH17	cadherin 17 
CDH19_1	CDH19	cadherin-19 precursor 
CDH19_2	CDH19	cadherin-19 precursor 
CDH1_1	CDH1	cadherin 1 
CDH20_1	CDH20	Cadherin-20 
CDH4_1	CDH4	cadherin-4 precursor 
CDH5_1	CDH5	Cadherin-5 
CDH6_1	CDH6	cadherin 6 
CDH6_2	CDH6	cadherin 6 
CDH7_1	CDH7	cadherin 7 
CDH8_1	CDH8	cadherin 8 
CDIP1_1	CDIP1	cell death inducing p53 target 1 
CDIP1_2	CDIP1	cell death inducing p53 target 1 
CDK10_1	CDK10	cyclin dependent kinase 10 
CDK19_1	CDK19	cyclin dependent kinase 19 
CDK1_1	CDK1	cyclin dependent kinase 1 
CDK2AP1_1	CDK2AP1	cyclin dependent kinase 2 associated protein 1 
CDK2AP1_2	CDK2AP1	cyclin dependent kinase 2 associated protein 1 
CDK5RAP3_1	CDK5RAP3	CDK5 regulatory subunit associated protein 3 
CDK7_1	CDK7	
CDK7_2	CDK7	
CDK9_1	CDK9	Cyclin-dependent kinase 9 
CDKAL1_1	CDKAL1	CDK5 regulatory subunit associated protein 1 like 1 
CDKN1A_1	CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1) 
CDKN1B_1	CDKN1B	cyclin dependent kinase inhibitor 1B 
CDKN2A_1	CDKN2A	
CDKN3_1	CDKN3	cyclin dependent kinase inhibitor 3 
CDO1_1	CDO1	
CDPF1_1	CDPF1	cysteine rich DPF motif domain containing 1 
CDR2_1	CDR2	cerebellar degeneration related protein 2 
CDS2_1	CDS2	CDP-diacylglycerol synthase 2 
CDV3_1	CDV3	CDV3 homolog 
CDX1_1	CDX1	caudal type homeobox 1 
CDX2_1	CDX2	caudal type homeobox 2 
CEBPB_1	CEBPB	CCAAT/enhancer binding protein beta 
CEBPZ_1	CEBPZ	CCAAT/enhancer binding protein zeta 
CECR1_1	CECR1	adenosine deaminase CECR1 precursor 
CECR2_1	CECR2	CECR2, histone acetyl-lysine reader 
CELF1_1	CELF1	CUGBP Elav-like family member 1 
CELF2_1	CELF2	CUGBP Elav-like family member 2 
CELF5_1	CELF5	CUGBP Elav-like family member 5 
CEL_1	CEL	carboxyl ester lipase precursor 
CENPF_1	CENPF	centromere protein F 
CENPH_1	CENPH	
CENPK_1	CENPK	
CENPL_1	CENPL	centromere protein L 
CENPM_1	CENPM	centromere protein M 
CENPN_1	CENPN	centromere protein N 
CENPO_1	CENPO	centromere protein O 
CENPT_1	CENPT	Centromere protein T 
CENPU_1	CENPU	centromere protein U 
CENPW_1	CENPW	Centromere protein W 
CEP104_1	CEP104	centrosomal protein 104 
CEP112_1	CEP112	centrosomal protein 112 
CEP120_1	CEP120	
CEP170_1	CEP170	centrosomal protein 170 
CEP41_1	CEP41	centrosomal protein 41 
CEP44_1	CEP44	centrosomal protein 44 
CEP55_1	CEP55	centrosomal protein 55 
CEP57_1	CEP57	centrosomal protein 57 
CEP70_1	CEP70	centrosomal protein 70 
CEPT1_1	CEPT1	choline/ethanolamine phosphotransferase 1 
CER1_1	CER1	
CERK_1	CERK	ceramide kinase 
CERS5_1	CERS5	ceramide synthase 5 
CETN3_1	CETN3	
CETP_1	CETP	cholesteryl ester transfer protein 
CFAP20_1	CFAP20	Cilia- and flagella-associated protein 20 
CFAP36_1	CFAP36	cilia and flagella associated protein 36 
CFAP97_1	CFAP97	cilia and flagella associated protein 97 
CFDP1_1	CFDP1	craniofacial development protein 1 
CFD_1	CFD	complement factor D 
CFI_1	CFI	complement factor I 
CFL2_1	CFL2	cofilin 2 
CFLAR_1	CFLAR	CASP8 and FADD like apoptosis regulator 
CGGBP1_1	CGGBP1	CGG triplet repeat binding protein 1 
CGRRF1_1	CGRRF1	cell growth regulator with ring finger domain 1 
CH25H_1	CH25H	cholesterol 25-hydroxylase 
CHAC1_1	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1 
CHAC2_1	CHAC2	ChaC cation transport regulator homolog 2 
CHAD_1	CHAD	chondroadherin 
CHAF1A_1	CHAF1A	chromatin assembly factor 1 subunit A 
CHAF1B_1	CHAF1B	chromatin assembly factor 1 subunit B 
CHCHD1_1	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1 
CHCHD2_1	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2 
CHCHD3_1	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3 
CHCHD4_1	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4 
CHCHD6_1	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6 
CHCHD7_1	CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7 
CHD2_1	CHD2	chromodomain helicase DNA binding protein 2 
CHD4_1	CHD4	chromodomain helicase DNA binding protein 4 
CHEK1_1	CHEK1	Serine/threonine-protein kinase Chk1 
CHEK2_1	CHEK2	checkpoint kinase 2 
CHERP_1	CHERP	calcium homeostasis endoplasmic reticulum protein 
CHFR_1	CHFR	checkpoint with forkhead and ring finger domains 
CHGA_1	CHGA	chromogranin A 
CHIA_1	CHIA	acidic mammalian chitinase precursor 
CHIC1_1	CHIC1	cysteine rich hydrophobic domain 1 
CHMP1A_1	CHMP1A	charged multivesicular body protein 1A 
CHMP2B_1	CHMP2B	charged multivesicular body protein 2B 
